predict_date,predict_power_consumption
2016-09-01,4627029
2016-09-02,4618467
2016-09-03,4490739
2016-09-04,4367727
2016-09-05,4253298
2016-09-06,4023140
2016-09-07,3663205
2016-09-08,3689233
2016-09-09,3679212
2016-09-10,3994246
2016-09-11,4061157
2016-09-12,4127489
2016-09-13,4043540
2016-09-14,3744055
2016-09-15,4222039
2016-09-16,4603302
2016-09-17,4200728
2016-09-18,4454857
2016-09-19,4517220
2016-09-20,4141047
2016-09-21,3873626
2016-09-22,4285132
2016-09-23,4200526
2016-09-24,4151262
2016-09-25,4194893
2016-09-26,4018774
2016-09-27,3610828
2016-09-28,3446470
2016-09-29,3681879
2016-09-30,3607667
